,Median_Income,zip_code,name,cuisine,price_range,rating,review_count,latitude,longitude,price,cuisine_cat
99,133211,20001.0,Ivy & Coney,Dive Bars,1,3.9,187.0,38.910656,-77.021568,5.0,bars
101,133211,20001.0,Dacha Beer Garden,Beer Gardens,2,4.1,489.0,38.91134387229278,-77.02214215768534,20.5,bars
102,133211,20001.0,Federal City Bar,Bars,3,4.2,16.0,38.8968,-77.010871,45.5,bars
103,133211,20001.0,Yardbird,New American,3,3.8,735.0,38.90200175058615,-77.0258959538568,45.5,american
104,133211,20001.0,All Souls Bar,Bars,2,3.9,143.0,38.9157506,-77.0227059,20.5,bars
107,133211,20001.0,Flash,Dance Clubs,2,3.1,205.0,38.91625,-77.02144,20.5,entertainment
109,133211,20001.0,Boundary Stone,New American,2,4.0,518.0,38.9153124721549,-77.0127552728748,20.5,american
110,133211,20001.0,Yard House,New American,2,3.8,629.0,38.90069860000002,-77.02212887055224,20.5,american
111,133211,20001.0,Supra,Bars,3,4.1,763.0,38.906,-77.026725,45.5,bars
113,133211,20001.0,Never Looked Better,Cocktail Bars,2,4.1,98.0,38.90653026947325,-77.02456047027019,20.5,bars
114,133211,20001.0,THROW Social,Cocktail Bars,2,3.8,339.0,38.91448365460386,-76.98406964931621,20.5,bars
115,133211,20001.0,Morris American Bar,Cocktail Bars,2,4.3,228.0,38.903683,-77.022099,20.5,bars
117,133211,20001.0,Bar Chinois,Chinese,2,4.2,208.0,38.90139,-77.01791,20.5,asian
118,133211,20001.0,Right Proper Brewing Company,American,2,4.0,769.0,38.9153595,-77.021347,20.5,american
120,133211,20001.0,Rocket Bar,Pool Halls,2,3.3,494.0,38.8990020751953,-77.0222244262695,20.5,entertainment
122,133211,20001.0,Solly's Tavern,Music Venues,1,3.4,209.0,38.916886768182,-77.027219144205,5.0,entertainment
123,133211,20001.0,Maxwell Park,Wine Bars,2,4.4,141.0,38.90843,-77.02425,20.5,bars
124,133211,20001.0,Tiger Fork,Chinese,2,3.9,903.0,38.9070698055236,-77.0248598,20.5,asian
125,133211,20001.0,Calico,Cocktail Bars,2,3.8,213.0,38.9064079503045,-77.0254480491635,20.5,bars
126,133211,20001.0,Present Company Public House,Pubs,2,4.6,110.0,38.9002246213413,-77.0172864220771,20.5,bars
127,133211,20001.0,Bartaco,Latin American,2,4.3,42.0,38.90279,-77.01831,20.5,latin
128,133211,20001.0,Chaplin's,Cocktail Bars,2,4.0,1417.0,38.909798,-77.023651,20.5,bars
129,133211,20001.0,Bartaco,Latin American,2,4.3,42.0,38.90279,-77.01831,20.5,latin
130,133211,20001.0,Chaplin's,Cocktail Bars,2,4.0,1417.0,38.909798,-77.023651,20.5,bars
131,133211,20001.0,The Capital Burger,Burgers,2,4.3,988.0,38.90331,-77.021605,20.5,american
132,133211,20001.0,Seven Reasons,Latin American,3,4.2,510.0,38.89996921804753,-77.0249762,45.5,latin
133,133211,20001.0,Article One Lounge,Lounges,3,3.3,9.0,38.89537,-77.01173,45.5,bars
134,133211,20001.0,The Ministry,Coffee & Tea,2,4.3,111.0,38.8978502,-77.011664,20.5,cafes
135,133211,20001.0,The Passenger,Bars,2,3.8,426.0,38.91071836970016,-77.02175765750285,20.5,bars
137,133211,20001.0,The Delegate,Breakfast & Brunch,2,3.7,232.0,38.90438,-77.02442,20.5,breakfast
139,107130,20002.0,Peregrine Espresso,Coffee & Tea,1,4.1,112.0,38.9087806,-76.9979685,5.0,cafes
140,107130,20002.0,Solid State Books,Bookstores,2,4.7,68.0,38.9003365874488,-76.99679710468791,20.5,cafes
141,107130,20002.0,Jacob's Coffee House,Coffee & Tea,1,4.3,260.0,38.894962310791,-76.9947509765625,5.0,cafes
142,107130,20002.0,Cups & Co,Coffee & Tea,1,3.8,6.0,38.8922929877525,-77.0069745182991,5.0,cafes
144,107130,20002.0,Blue Bottle Coffee - Union Market,Coffee & Tea,2,4.0,90.0,38.908168,-77.000179,20.5,cafes
147,107130,20002.0,Qualia Coffee,Coffee & Tea,1,3.9,362.0,38.91068,-77.00473,5.0,cafes
148,107130,20002.0,Ebenezers Coffeehouse,Coffee & Tea,2,4.1,574.0,38.8971287119908,-77.0032858099355,20.5,cafes
149,107130,20002.0,Pluma By Bluebird Bakery,Bakeries,2,4.2,203.0,38.9079775974755,-77.0003633854441,20.5,cafes
151,107130,20002.0,Unido Panama Coffee Roasters,Coffee & Tea,2,4.1,67.0,38.908986,-76.999617,20.5,cafes
152,107130,20002.0,La Colombe Coffee,Coffee & Tea,2,4.4,57.0,38.9053473599814,-77.0026682420707,20.5,cafes
153,107130,20002.0,Sidamo Coffee and Tea,Coffee & Tea,1,4.3,525.0,38.89994,-76.9999,5.0,cafes
155,107130,20002.0,Maketto,Cafes,3,4.1,1274.0,38.89990414059217,-76.98666519999999,45.5,cafes
157,107130,20002.0,Peet's Coffee,Coffee & Tea,2,4.8,25.0,38.90681,-77.00541,20.5,cafes
159,107130,20002.0,Blue Bottle Coffee - Union Station,Coffee & Tea,2,3.8,120.0,38.897347,-77.006174,20.5,cafes
160,107130,20002.0,Junction Bistro Bar and Bakery,Bakeries,2,4.2,95.0,38.894935,-77.0022589,20.5,cafes
161,107130,20002.0,Junction Bistro Bar and Bakery,Bakeries,2,4.2,95.0,38.894935,-77.0022589,20.5,cafes
162,107130,20002.0,Union Kitchen Grocery,Coffee & Tea,2,4.1,16.0,38.91209,-77.00369,20.5,cafes
163,107130,20002.0,Uptown Cafe,Coffee & Tea,1,3.6,83.0,38.905458,-77.005096,5.0,cafes
165,107130,20002.0,Tiger Sugar Boba Bubble Tea shop DC,Bubble Tea,2,3.9,23.0,38.92207696395166,-76.99656949999999,20.5,cafes
169,107130,20002.0,Maketto,Cafes,3,4.1,1274.0,38.89990414059217,-76.98666519999999,45.5,cafes
170,107130,20002.0,Menomale,Pizza,2,4.4,98.0,38.906978,-77.007822,20.5,american
172,107130,20002.0,Cane,Trinidadian,2,4.4,637.0,38.9,-77.00032,20.5,latin
173,107130,20002.0,Laos In Town,Laotian,2,4.4,807.0,38.9028426184772,-77.00229728650758,20.5,asian
174,107130,20002.0,Treehouse Rooftop,Wine Bars,2,4.0,57.0,38.91089365691521,-76.99753875994404,20.5,bars
175,107130,20002.0,Copycat Co,Cocktail Bars,2,4.3,777.0,38.9004517,-76.9910202,20.5,bars
176,107130,20002.0,Mecha Noodle Bar,Ramen,3,4.3,81.0,38.90795,-77.00064,45.5,asian
178,107130,20002.0,O-Ku,Sushi Bars,3,4.5,697.0,38.90824083550104,-76.99870358398579,45.5,asian
179,107130,20002.0,CR NoMa,Mediterranean,2,4.4,180.0,38.90591,-77.00473,20.5,european
180,107130,20002.0,St. Anselm,Steakhouses,3,4.4,1029.0,38.907794,-76.999082,45.5,american
181,107130,20002.0,Tiki Garden Thai Street Food,Thai,2,4.8,92.0,38.90041,-76.9885,20.5,asian
